Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Doubt,https://www.justwatch.com/in/tv-show/doubt-2024,2024,"['Crime', 'Mystery & Thriller', 'Drama']",N/A,{'Netflix'},N/A,South Korea,1h 11min,TV-Show
Dragon Ball DAIMA,https://www.justwatch.com/in/tv-show/dragon-ball-daima,2024,"['Action & Adventure', 'Comedy', 'Science-Fiction', 'Animation', 'Fantasy']",8.1,"{'Netflix', 'Crunchyroll Amazon Channel'}",N/A,Japan,24min,TV-Show
Hidden Love,https://www.justwatch.com/in/tv-show/hidden-love,2023,['Drama'],N/A,{'Netflix'},N/A,China,45min,TV-Show
Scam 1992: The Harshad Mehta Story,https://www.justwatch.com/in/tv-show/scam-1992,2020,"['Drama', 'Mystery & Thriller', 'Crime']",9.2,"{'Sony Liv', 'VI movies and tv'}",N/A,India,52min,TV-Show
Modern Family,https://www.justwatch.com/in/tv-show/modern-family,2009,"['Comedy', 'Drama', 'Romance']",8.5,{'Hotstar'},N/A,United States,21min,TV-Show
Attack on Titan,https://www.justwatch.com/in/tv-show/attack-on-titan,2013,"['Action & Adventure', 'Drama', 'Fantasy', 'Horror', 'Animation', 'Science-Fiction']",9.1,"{'Amazon Prime Video', 'Anime Times Amazon Channel'}",N/A,Japan,25min,TV-Show
Naruto Shippūden,https://www.justwatch.com/in/tv-show/naruto-shippuden,2007,"['Action & Adventure', 'Science-Fiction', 'Animation', 'Comedy', 'Drama', 'Fantasy']",8.7,"{'Netflix', 'Crunchyroll Amazon Channel'}",N/A,Japan,23min,TV-Show
Fresh Off the Boat,https://www.justwatch.com/in/tv-show/fresh-off-the-boat,2015,['Comedy'],7.8,{'Hotstar'},N/A,United States,21min,TV-Show
The Lord of the Rings: The Rings of Power,https://www.justwatch.com/in/tv-show/the-lord-of-the-rings-the-rings-of-power,2022,"['Action & Adventure', 'Science-Fiction', 'Drama', 'Fantasy']",6.9,{'Amazon Prime Video'},N/A,United States,1h 8min,TV-Show
Disclaimer,https://www.justwatch.com/in/tv-show/disclaimer,2024,"['Drama', 'Mystery & Thriller']",7.5,{'Apple TV Plus'},N/A,United Kingdom,49min,TV-Show
Auto Shankar,https://www.justwatch.com/in/tv-show/auto-shankar,2019,"['Crime', 'Mystery & Thriller']",6.8,"{'VI movies and tv', 'Zee5'}",N/A,India,30min,TV-Show
Aashram,https://www.justwatch.com/in/tv-show/aashram,2020,"['Drama', 'Crime', 'Mystery & Thriller']",6.6,{'MX Player'},N/A,India,43min,TV-Show
Peaky Blinders,https://www.justwatch.com/in/tv-show/peaky-blinders,2013,"['Drama', 'Crime']",8.7,{'Netflix'},N/A,United Kingdom,58min,TV-Show
A Man on the Inside,https://www.justwatch.com/in/tv-show/a-classic-spy,2024,"['Comedy', 'Crime']",7.8,{'Netflix'},N/A,United States,29min,TV-Show
Raising Voices,https://www.justwatch.com/in/tv-show/raising-voices,2024,['Drama'],7.2,{'Netflix'},N/A,Spain,46min,TV-Show
Aindham Vedham,https://www.justwatch.com/in/tv-show/aindham-vedham,2024,['Mystery & Thriller'],7.5,{'Zee5'},N/A,India,41min,TV-Show
Ghosts,https://www.justwatch.com/in/tv-show/ghosts-2021,2021,"['Comedy', 'Fantasy']",7.9,{'Jio Cinema'},N/A,United States,21min,TV-Show
Deceitful Love,https://www.justwatch.com/in/tv-show/deceitful-love,2024,"['Drama', 'Romance']",5.7,{'Netflix'},N/A,Italy,48min,TV-Show
The Lincoln Lawyer,https://www.justwatch.com/in/tv-show/the-lincoln-lawyer,2022,"['Mystery & Thriller', 'Crime', 'Drama']",7.8,{'Netflix'},N/A,United States,49min,TV-Show
Mandaar,https://www.justwatch.com/in/tv-show/mandaar,2021,['Drama'],N/A,"{'Hoichoi Amazon Channel', 'Hoichoi'}",N/A,India,44min,TV-Show
Young Sheldon,https://www.justwatch.com/in/tv-show/young-sheldon,2017,"['Comedy', 'Kids & Family', 'Drama']",7.7,"{'Amazon Prime Video', 'Netflix'}",N/A,United States,19min,TV-Show
Gyaarah Gyaarah,https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,2024,"['Drama', 'Fantasy', 'Science-Fiction']",8.2,{'Zee5'},N/A,India,44min,TV-Show
House,https://www.justwatch.com/in/tv-show/house,2004,"['Drama', 'Mystery & Thriller', 'Comedy']",8.7,"{'Amazon Prime Video', 'Netflix', 'Jio Cinema'}",N/A,United States,44min,TV-Show
Banshee,https://www.justwatch.com/in/tv-show/banshee,2013,"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.4,{'Jio Cinema'},N/A,United States,51min,TV-Show
Naruto,https://www.justwatch.com/in/tv-show/naruto,2002,"['Science-Fiction', 'Action & Adventure', 'Animation', 'Comedy', 'Fantasy']",8.4,"{'Amazon Prime Video', 'Netflix', 'Anime Times Amazon Channel'}",N/A,Japan,23min,TV-Show
White Collar,https://www.justwatch.com/in/tv-show/white-collar,2009,"['Mystery & Thriller', 'Drama', 'Comedy', 'Crime']",8.2,{'Hotstar'},N/A,United States,44min,TV-Show
Euphoria,https://www.justwatch.com/in/tv-show/euphoria,2019,['Drama'],8.3,{'Jio Cinema'},N/A,United States,58min,TV-Show
