Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
My Old Ass,https://www.justwatch.com/in/movie/my-old-ass,Old,"['Drama', 'Romance', 'Comedy', 'Science-Fiction']",7.0  (18k)90%,{'Amazon Prime Video'},[],"{'United Kingdom, Canada, United States'}",1h 29min,Movie
Kanguva,https://www.justwatch.com/in/movie/kanguva,(2024),"['Fantasy', 'Action & Adventure', 'Mystery & Thriller', 'Drama']",5.3  (11k),{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 34min,Movie
Thangalaan,https://www.justwatch.com/in/movie/thangalaan,(2024),"['Action & Adventure', 'Fantasy', 'History', 'Drama']",7.1  (4k),set(),"['UA', 'UA']",{'India'},2h 36min,Movie
Kalki 2898 AD,https://www.justwatch.com/in/movie/kalki-2898-ad,2898,"['Mystery & Thriller', 'Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",7.1  (55k)77%,"{'Amazon Video', 'Amazon Prime Video', 'Netflix'}","['UA', 'UA']",{'India'},3h 0min,Movie
Golam,https://www.justwatch.com/in/movie/golam,(2024),"['Crime', 'Mystery & Thriller']",7.2  (4k),{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 0min,Movie
Yudhra,https://www.justwatch.com/in/movie/yudhra,(2024),"['Mystery & Thriller', 'Action & Adventure', 'Drama']",5.5  (12k),"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 22min,Movie
Sarfira,https://www.justwatch.com/in/movie/untitled-soorarai-pottru-remake,(2024),['Drama'],7.2  (9k)42%,{'Hotstar'},"['U', 'U']",{'India'},2h 35min,Movie
It Ends with Us,https://www.justwatch.com/in/movie/it-ends-with-us,Ends,"['Romance', 'Drama']",6.5  (51k)56%,"{'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},2h 10min,Movie
Vedaa,https://www.justwatch.com/in/movie/vedaa,(2024),"['Action & Adventure', 'Drama', 'Mystery & Thriller']",6.0  (3k)44%,{'Zee5'},[],{'India'},2h 25min,Movie
Bhool Bhulaiyaa,https://www.justwatch.com/in/movie/bhool-bhulaiyaa,Bhulaiyaa,"['Horror', 'Mystery & Thriller', 'Comedy']",7.5  (34k)33%,"{'VI movies and tv', 'Hotstar', 'Netflix'}",[],{'India'},2h 38min,Movie
Swag,https://www.justwatch.com/in/movie/swag,(2024),"['Drama', 'Comedy']",7.8  (2k),"{'Amazon Video', 'Amazon Prime Video'}",[],{'India'},2h 30min,Movie
365 Days,https://www.justwatch.com/in/movie/365-days,Days,"['Drama', 'Romance', 'Made in Europe']",3.3  (101k),{'Netflix'},[],{'Poland'},1h 54min,Movie
Munjya,https://www.justwatch.com/in/movie/munjha,(2024),"['Horror', 'Comedy']",6.4  (23k)56%,{'Hotstar'},"['UA', 'UA']",{'India'},2h 3min,Movie
Venom: Let There Be Carnage,https://www.justwatch.com/in/movie/venom-let-there-be-carnage,Let,"['Science-Fiction', 'Action & Adventure', 'Mystery & Thriller']",5.9  (275k),"{'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}",[],{'United States'},1h 37min,Movie
Vaazhai,https://www.justwatch.com/in/movie/vaazhai,(2024),"['Drama', 'Kids & Family']",7.8  (3k),{'Hotstar'},"['U', 'U']",{'India'},2h 14min,Movie
Caddo Lake,https://www.justwatch.com/in/movie/caddo-lake,Lake,"['Mystery & Thriller', 'Drama', 'Science-Fiction', 'Horror']",6.9  (28k)76%,"{'Apple TV', 'Jio Cinema'}","['A', 'A']",{'United States'},1h 43min,Movie
Zwigato,https://www.justwatch.com/in/movie/zwigato,(2023),['Drama'],7.0  (9k)100%,{'Amazon Prime Video'},"['U', 'U']",{'India'},1h 46min,Movie
Salaar,https://www.justwatch.com/in/movie/salaar,(2023),"['Drama', 'Mystery & Thriller', 'Action & Adventure', 'Crime']",6.6  (71k)73%,"{'Bookmyshow', 'VI movies and tv', 'Hotstar', 'Netflix'}","['A', 'A']",{'India'},2h 55min,Movie
A Quiet Place: Day One,https://www.justwatch.com/in/movie/a-quiet-place-day-one,Quiet,"['Horror', 'Science-Fiction', 'Mystery & Thriller', 'Drama']",6.3  (118k)87%,"{'Amazon Video', 'Apple TV', 'Amazon Prime Video'}",[],"{'Canada, United States, United Kingdom'}",1h 39min,Movie
