Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Venom,https://www.justwatch.com/in/movie/venom-2018,(2018),"['Science-Fiction', 'Action & Adventure']",6.6,"{'VI movies and tv', 'Sony Liv', 'Amazon Video', 'Zee5', 'Apple TV', 'Netflix', 'Amazon Prime Video', 'Jio Cinema'}","['UA', 'UA']","{'United States, China'}",1h 52min,Movie
Vicky Vidya Ka Woh Wala Video,https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video,Vidya,['Comedy'],6.1,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 32min,Movie
The Greatest of All Time,https://www.justwatch.com/in/movie/thalapathy-68,Greatest,"['Mystery & Thriller', 'Action & Adventure']",5.8,"{'Bookmyshow', 'Netflix'}","['UA', 'UA']",{'India'},3h 3min,Movie
Pushpa: The Rise - Part 1,https://www.justwatch.com/in/movie/pushpa,The,"['Drama', 'Mystery & Thriller', 'Action & Adventure', 'Crime']",7.6,"{'Bookmyshow', 'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 59min,Movie
Viswam,https://www.justwatch.com/in/movie/viswam-2024,(2024),"['Action & Adventure', 'Comedy', 'Mystery & Thriller']",4.3,"{'aha', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 33min,Movie
My Old Ass,https://www.justwatch.com/in/movie/my-old-ass,Old,"['Drama', 'Romance', 'Comedy', 'Science-Fiction']",7.0,{'Amazon Prime Video'},[],"{'United Kingdom, Canada, United States'}",1h 29min,Movie
Kanguva,https://www.justwatch.com/in/movie/kanguva,(2024),"['Fantasy', 'Action & Adventure', 'Mystery & Thriller', 'Drama']",5.3,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 34min,Movie
Thangalaan,https://www.justwatch.com/in/movie/thangalaan,(2024),"['Action & Adventure', 'Fantasy', 'History', 'Drama']",7.1,set(),"['UA', 'UA']",{'India'},2h 36min,Movie
Kalki 2898 AD,https://www.justwatch.com/in/movie/kalki-2898-ad,2898,"['Mystery & Thriller', 'Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",7.1,"{'Amazon Video', 'Amazon Prime Video', 'Netflix'}","['UA', 'UA']",{'India'},3h 0min,Movie
Golam,https://www.justwatch.com/in/movie/golam,(2024),"['Crime', 'Mystery & Thriller']",7.2,{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 0min,Movie
Yudhra,https://www.justwatch.com/in/movie/yudhra,(2024),"['Mystery & Thriller', 'Action & Adventure', 'Drama']",5.5,"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 22min,Movie
Sarfira,https://www.justwatch.com/in/movie/untitled-soorarai-pottru-remake,(2024),['Drama'],7.2,{'Hotstar'},"['U', 'U']",{'India'},2h 35min,Movie
It Ends with Us,https://www.justwatch.com/in/movie/it-ends-with-us,Ends,"['Romance', 'Drama']",6.5,"{'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},2h 10min,Movie
Vedaa,https://www.justwatch.com/in/movie/vedaa,(2024),"['Action & Adventure', 'Drama', 'Mystery & Thriller']",6.0,{'Zee5'},[],{'India'},2h 25min,Movie
Bhool Bhulaiyaa,https://www.justwatch.com/in/movie/bhool-bhulaiyaa,Bhulaiyaa,"['Horror', 'Mystery & Thriller', 'Comedy']",7.5,"{'VI movies and tv', 'Hotstar', 'Netflix'}",[],{'India'},2h 38min,Movie
Swag,https://www.justwatch.com/in/movie/swag,(2024),"['Drama', 'Comedy']",7.8,"{'Amazon Video', 'Amazon Prime Video'}",[],{'India'},2h 30min,Movie
365 Days,https://www.justwatch.com/in/movie/365-days,Days,"['Drama', 'Romance', 'Made in Europe']",3.3,{'Netflix'},[],{'Poland'},1h 54min,Movie
Munjya,https://www.justwatch.com/in/movie/munjha,(2024),"['Horror', 'Comedy']",6.4,{'Hotstar'},"['UA', 'UA']",{'India'},2h 3min,Movie
Venom: Let There Be Carnage,https://www.justwatch.com/in/movie/venom-let-there-be-carnage,Let,"['Science-Fiction', 'Action & Adventure', 'Mystery & Thriller']",5.9,"{'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}",[],{'United States'},1h 37min,Movie
Vaazhai,https://www.justwatch.com/in/movie/vaazhai,(2024),"['Drama', 'Kids & Family']",7.8,{'Hotstar'},"['U', 'U']",{'India'},2h 14min,Movie
Caddo Lake,https://www.justwatch.com/in/movie/caddo-lake,Lake,"['Mystery & Thriller', 'Drama', 'Science-Fiction', 'Horror']",6.9,"{'Apple TV', 'Jio Cinema'}","['A', 'A']",{'United States'},1h 43min,Movie
Zwigato,https://www.justwatch.com/in/movie/zwigato,(2023),['Drama'],7.0,{'Amazon Prime Video'},"['U', 'U']",{'India'},1h 46min,Movie
Salaar,https://www.justwatch.com/in/movie/salaar,(2023),"['Drama', 'Mystery & Thriller', 'Action & Adventure', 'Crime']",6.6,"{'Bookmyshow', 'VI movies and tv', 'Hotstar', 'Netflix'}","['A', 'A']",{'India'},2h 55min,Movie
A Quiet Place: Day One,https://www.justwatch.com/in/movie/a-quiet-place-day-one,Quiet,"['Horror', 'Science-Fiction', 'Mystery & Thriller', 'Drama']",6.3,"{'Amazon Video', 'Apple TV', 'Amazon Prime Video'}",[],"{'Canada, United States, United Kingdom'}",1h 39min,Movie
Stree,https://www.justwatch.com/in/movie/stree,(2018),"['Horror', 'Comedy', 'Drama']",7.5,"{'VI movies and tv', 'Hotstar', 'Amazon Video', 'Apple TV', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 8min,Movie
Despicable Me 4,https://www.justwatch.com/in/movie/despicable-me-4-2024,Me,"['Kids & Family', 'Comedy', 'Action & Adventure', 'Animation', 'Crime', 'Science-Fiction']",6.2,"{'Bookmyshow', 'Amazon Video', 'Zee5', 'Apple TV', 'Jio Cinema'}","['U', 'U']",{'United States'},1h 34min,Movie
Je Jatt Vigarh Gya,https://www.justwatch.com/in/movie/je-jatt-vigad-gya,Jatt,['Drama'],5.2,{'Chaupal Amazon Channel'},[],{'India'},2h 12min,Movie
Smile 2,https://www.justwatch.com/in/movie/smile-2,2,"['Horror', 'Mystery & Thriller']",6.9,{'Bookmyshow'},[],{'United States'},2h 7min,Movie
Saripodhaa Sanivaaram,https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,Sanivaaram,"['Action & Adventure', 'Mystery & Thriller', 'Drama']",7.0,{'Netflix'},"['UA', 'UA']",{'India'},2h 52min,Movie
Oldboy,https://www.justwatch.com/in/movie/oldboy-2003,(2003),"['Drama', 'Mystery & Thriller', 'Action & Adventure']",8.3,{'Amazon Prime Video'},"['A', 'A']",{'South Korea'},2h 0min,Movie
Premalu,https://www.justwatch.com/in/movie/premalu,(2024),"['Comedy', 'Romance']",7.8,"{'VI movies and tv', 'aha', 'Hotstar'}","['U', 'U']",{'India'},2h 36min,Movie
Laila Majnu,https://www.justwatch.com/in/movie/laila-majnu,Majnu,"['Romance', 'Drama']",7.7,{'VI movies and tv'},"['UA', 'UA']",{'India'},2h 19min,Movie
Level Cross,https://www.justwatch.com/in/movie/level-cross,Cross,"['Drama', 'Mystery & Thriller']",6.8,"{'aha', 'Amazon Prime Video', 'ManoramaMax'}","['UA', 'UA']",{'India'},1h 56min,Movie
The Sabarmati Report,https://www.justwatch.com/in/movie/the-sabarmati-report,Sabarmati,"['Drama', 'Mystery & Thriller']",7.4,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 7min,Movie
96,https://www.justwatch.com/in/movie/96,(2018),"['Romance', 'Drama']",8.5,"{'VI movies and tv', 'ManoramaMAX Amazon Channel', 'Sony Liv', 'Sun Nxt', 'MX Player', 'Amazon miniTV', 'aha', 'ManoramaMax'}","['U', 'U']",{'India'},2h 39min,Movie
Animal,https://www.justwatch.com/in/movie/animal-2022,(2023),"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller']",6.1,{'Netflix'},"['A', 'A']",{'India'},3h 21min,Movie
K.G.F: Chapter 1,https://www.justwatch.com/in/movie/k-g-f-chapter-1,Chapter,"['Mystery & Thriller', 'Action & Adventure', 'Crime', 'Drama']",8.2,{'Hotstar'},"['UA', 'UA']",{'India'},2h 36min,Movie
Jigra,https://www.justwatch.com/in/movie/jigra-2024,(2024),"['Drama', 'Mystery & Thriller', 'Crime', 'Action & Adventure']",7.0,set(),[],{'India'},2h 35min,Movie
Vivekanandan Viralaanu,https://www.justwatch.com/in/movie/vivekanandan-viralaanu,Viralaanu,"['Comedy', 'Drama']",4.0,{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 1min,Movie
Speak No Evil,https://www.justwatch.com/in/movie/speak-no-evil-2024,No,"['Horror', 'Mystery & Thriller', 'Drama']",6.9,"{'Amazon Video', 'Zee5', 'Apple TV'}",[],{'United States'},1h 50min,Movie
Apocalypse Z: The Beginning of the End,https://www.justwatch.com/in/movie/apocalypse-z-el-principio-del-fin,Z:,"['Action & Adventure', 'Horror', 'Science-Fiction', 'Mystery & Thriller', 'Drama']",6.1,{'Amazon Prime Video'},[],{'Spain'},1h 57min,Movie
Mangalavaaram,https://www.justwatch.com/in/movie/mangalavaram,(2023),"['Mystery & Thriller', 'Action & Adventure', 'Horror']",6.8,"{'VI movies and tv', 'Hotstar', 'Amazon Prime Video', 'Jio Cinema'}",[],{'India'},2h 29min,Movie
Time Cut,https://www.justwatch.com/in/movie/time-cut,Cut,"['Science-Fiction', 'Mystery & Thriller', 'Horror']",5.0,{'Netflix'},[],{'United States'},1h 30min,Movie
Joker: Folie à Deux,https://www.justwatch.com/in/movie/joker-2,Folie,"['Mystery & Thriller', 'Crime', 'Drama']",5.2,"{'Amazon Video', 'Apple TV'}","['A', 'A']","{'Canada, United States'}",2h 18min,Movie
Don't Move,https://www.justwatch.com/in/movie/dont-move,Move,"['Horror', 'Mystery & Thriller']",5.8,{'Netflix'},"['A', 'A']",{'United States'},1h 32min,Movie
Maa Nanna Superhero,https://www.justwatch.com/in/movie/maa-nanna-superhero,Nanna,['Drama'],7.0,"{'Zee5', 'Amazon Prime Video'}",[],{'India'},2h 7min,Movie
Gladiator II,https://www.justwatch.com/in/movie/gladiator-2,II,"['Drama', 'Action & Adventure']",7.0,{'Bookmyshow'},[],"{'Morocco, Canada, United States, United Kingdom'}",2h 28min,Movie
Harry Potter and the Philosopher's Stone,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,Potter,"['Action & Adventure', 'Fantasy', 'Kids & Family']",7.7,"{'Apple TV', 'Bookmyshow', 'Tata Play', 'Jio Cinema'}","['U', 'U']","{'United States, United Kingdom'}",2h 32min,Movie
Fifty Shades of Grey,https://www.justwatch.com/in/movie/fifty-shades-of-grey,Shades,"['Mystery & Thriller', 'Drama', 'Romance']",4.2,"{'Zee5', 'Jio Cinema'}",[],{'United States'},2h 5min,Movie
